序号,项目建设地点（省级）,项目建设地点（市级）,每瓦首年实际发电量,脱硫煤电价,标杆上网电价,类区,,,
1,重庆,重庆,0.47385,0.3964,0.55,III类区,,,
2,浙江省,杭州,0.9477,0.4153,0.55,III类区,,,
3,浙江省,宁波,1.10565,0.4153,0.55,III类区,,,
4,浙江省,温州,0.9477,0.4153,0.55,III类区,,,
5,浙江省,嘉兴,1.00035,0.4153,0.55,III类区,,,
6,浙江省,湖州,1.00035,0.4153,0.55,III类区,,,
7,浙江省,绍兴,0.9477,0.4153,0.55,III类区,,,
8,浙江省,金华,0.9477,0.4153,0.55,III类区,,,
9,浙江省,衢州,0.9477,0.4153,0.55,III类区,,,
10,浙江省,舟山,1.10565,0.4153,0.55,III类区,,,
11,浙江省,台州,0.9477,0.4153,0.55,III类区,,,
12,浙江省,丽水,0.9477,0.4153,0.55,III类区,,,
13,云南省,昆明,1.10565,0.3358,0.45,II类区,,,
14,云南省,曲靖,1.10565,0.3358,0.45,II类区,,,
15,云南省,玉溪,1.10565,0.3358,0.45,II类区,,,
16,云南省,丽江,1.42155,0.3358,0.45,II类区,,,
17,云南省,楚雄州,1.1583,0.3358,0.45,II类区,,,
18,云南省,红河州,1.10565,0.3358,0.45,II类区,,,
19,云南省,文山州,1.10565,0.3358,0.45,II类区,,,
20,云南省,大理州,1.21095,0.3358,0.45,II类区,,,
21,云南省,德宏州,1.21095,0.3358,0.45,II类区,,,
22,云南省,怒江州,1.2636,0.3358,0.45,II类区,,,
23,云南省,迪庆州,1.2636,0.3358,0.45,II类区,,,
24,新疆省,乌鲁木齐,1.52685,0.25,0.4,I类区,,,
25,新疆省,克拉玛依,1.4742,0.25,0.4,I类区,,,
26,新疆省,昌吉州,1.52685,0.25,0.4,I类区,,,
27,新疆省,博尔塔拉州,1.3689,0.25,0.4,I类区,,,
28,新疆省,巴音郭楞州,1.4742,0.25,0.45,II类区,,,
29,新疆省,伊犁州,1.4742,0.25,0.4,I类区,,,
30,西藏省,拉萨,1.52685,0.4993,0.55,III类区,,,
31,西藏省,山南,1.4742,0.4993,0.55,III类区,,,
32,西藏省,日喀则,1.63215,0.4993,0.55,III类区,,,
33,西藏省,阿里,1.84275,0.4993,0.55,III类区,,,
34,天津,天津,1.2636,0.3655,0.45,II类区,,,
35,四川省,成都,0.57915,0.4012,0.45,II类区,,,
36,四川省,自贡,0.5265,0.4012,0.45,II类区,,,
37,四川省,攀枝花,1.31625,0.4012,0.45,II类区,,,
38,四川省,泸州,0.5265,0.4012,0.45,II类区,,,
39,四川省,德阳,0.57915,0.4012,0.45,II类区,,,
40,四川省,绵阳,0.57915,0.4012,0.45,II类区,,,
41,四川省,广元,0.7371,0.4012,0.45,II类区,,,
42,四川省,遂宁,0.5265,0.4012,0.45,II类区,,,
43,四川省,内江,0.5265,0.4012,0.45,II类区,,,
44,四川省,乐山,0.57915,0.4012,0.45,II类区,,,
